"TOA5","BoiaSomorrostro_cr1000xs","CR1000X","27337","CR1000X.8.2.1","CPU:IcatmarBoiaBarcelona.CR1X","30101","Status"
"TIMESTAMP","RECORD","OSVersion","OSDate","OSSignature","SerialNumber","RevBoard","StationName","RecipeStatus","ProgName","StartTime","RunSignature","ProgSignature","WatchdogErrors","PanelTemp","Battery","LithiumBattery","Low12VCount","CompileResults","StartUpCode","ProgErrors","VarOutOfBound","SkippedScan","SkippedSystemScan","SkippedSlowScan","ErrorCalib","MemorySize","MemoryFree","CommsMemFree","FullMemReset","CardStatus","MeasureOps","MeasureTime","ProcessTime","MaxProcTime","BuffDepth","MaxBuffDepth","LastSystemScan","LastSlowScan","SystemProcTime","SlowProcTime","MaxSystemProcTime","MaxSlowProcTime","PortStatus(1)","PortStatus(2)","PortStatus(3)","PortStatus(4)","PortStatus(5)","PortStatus(6)","PortStatus(7)","PortStatus(8)","PortConfig(1)","PortConfig(2)","PortConfig(3)","PortConfig(4)","PortConfig(5)","PortConfig(6)","PortConfig(7)","PortConfig(8)","SW12Volts(1)","SW12Volts(2)","PakBusRoutes","Messages","CalVolts(1)","CalVolts(2)","CalVolts(3)","CalRefSlope(1)","CalRefSlope(2)","CalRefSlope(3)","CalRefOffset(1)","CalRefOffset(2)","CalRefOffset(3)","CalGain(1)","CalGain(2)","CalGain(3)","CalOffset(1)","CalOffset(2)","CalOffset(3)","CalCurrent(1)","CalCurrent(2)"
"TS","RN","","","","","","","","","","","","","DegC","Volts","Volts","","","","","","","","","","bytes","bytes","","","","","usec","usec","usec","scans","scans","","","usec","usec","usec","usec","","","","","","","","","","","","","","","","","","","","","mVolts","mVolts","mVolts","mVolts/DegC","mVolts/DegC","mVolts/DegC","mVolts","mVolts","mVolts","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025-09-08 12:48:15.272",9,"CR1000X.8.2.1","03/18/2025",36113,"27337","007.001","27337","","CPU:IcatmarBoiaBarcelona.CR1X","2025-08-13 16:10:11.46",12456,30101,0,26.27582,11.79464,3.694039,0,"Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 105.  Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 2075.  Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 2077.  ",0,0,0,0,0,0,0,4194304,51580,"305  99(98),189(185),298(296),143(138),45(41),35(34),25(23),0(0),2(2),0(0)",0,"Card OK.",197,1500,274337018,277961014,0,0,"2025-09-08 12:48:00.029","2025-09-08 00:00:00",320,189898306,1252,189898306,0,0,0,0,0,0,0,0,"SDI-12","Output","Input","Input","Input","Input","Input","Input",0,0,"2078,4094,4094,5000  ","",8000.17,1599.884,319.7696,-0.009753739,-0.002493707,-0.00135769,0.6666325,0.171649,0.09571807,0.0006423448,0.0001270174,2.524834E-05,-287,-324,-388,0.1000034,0.09999072
"2025-09-08 13:41:55.141",10,"CR1000X.8.2.1","03/18/2025",36113,"27337","007.001","27337","","CPU:IcatmarBoiaBarcelona.CR1X","2025-08-13 16:10:11.46",12456,30101,0,25.93954,11.84825,3.696512,0,"Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 105.  Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 2075.  Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 2077.  ",0,0,0,0,0,0,0,4194304,51580,"305  99(98),188(185),298(296),143(137),45(41),35(34),25(23),0(0),2(2),0(0)",0,"Card OK.",197,1500,274349032,277961014,0,0,"2025-09-08 13:41:00.029","2025-09-08 00:00:00",319,189898306,1252,189898306,0,0,0,0,0,0,0,0,"SDI-12","Output","Input","Input","Input","Input","Input","Input",0,0,"2079,4094,4094,5000  ","",8000.17,1599.884,319.7696,-0.009753739,-0.002493707,-0.00135769,0.6666325,0.171649,0.09571807,0.000642345,0.0001270174,2.524815E-05,-284,-322,-384,0.1000034,0.09999072
"2025-09-08 14:02:58.254",11,"CR1000X.8.2.1","03/18/2025",36113,"27337","007.001","27337","","CPU:IcatmarBoiaBarcelona.CR1X","2025-08-13 16:10:11.46",12456,30101,0,25.86456,11.82292,3.693993,0,"Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 105.  Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 2075.  Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 2077.  ",0,0,0,0,0,0,0,4194304,51580,"305  99(98),189(185),298(296),143(137),45(41),35(34),25(23),0(0),2(2),0(0)",0,"Card OK.",197,1500,274349032,277961014,0,0,"2025-09-08 14:02:00.026","2025-09-08 00:00:00",319,189898306,1252,189898306,0,-1,0,0,0,0,0,0,"SDI-12","Output","Input","Input","TX","RX","Input","Input",0,0,"2080,4094,4094,5000  ","",8000.17,1599.884,319.7696,-0.009753739,-0.002493707,-0.00135769,0.6666325,0.171649,0.09571807,0.0006423453,0.0001270176,2.524833E-05,-286,-325,-392,0.1000034,0.09999072
"2025-09-08 14:55:43.738",12,"CR1000X.8.2.1","03/18/2025",36113,"27337","007.001","27337","","CPU:IcatmarBoiaBarcelona.CR1X","2025-08-13 16:10:11.46",12456,30101,0,26.10751,11.85268,3.697012,0,"Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 105.  Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 2075.  Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 2077.  ",0,0,0,0,0,0,0,4194304,51580,"305  99(98),189(185),298(296),143(137),45(41),35(34),25(23),0(0),2(2),0(0)",0,"Card OK.",197,1500,274362040,277961014,0,0,"2025-09-08 14:55:00.029","2025-09-08 00:00:00",319,189898306,1252,189898306,0,0,0,0,0,0,0,0,"SDI-12","Output","Input","Input","Input","Input","Input","Input",0,0,"2081,4094,4094,5000  ","",8000.17,1599.884,319.7696,-0.009753739,-0.002493707,-0.00135769,0.6666325,0.171649,0.09571807,0.0006423449,0.0001270173,2.524801E-05,-278,-334,-381,0.1000034,0.09999072
"2025-09-08 15:18:12.961",13,"CR1000X.8.2.1","03/18/2025",36113,"27337","007.001","27337","","CPU:IcatmarBoiaBarcelona.CR1X","2025-08-13 16:10:11.46",12456,30101,0,26.3269,11.84719,3.694541,0,"Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 105.  Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 2075.  Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 2077.  ",0,0,0,0,0,0,0,4194304,51580,"305  99(98),189(185),298(296),143(137),45(41),35(34),25(23),0(0),2(2),0(0)",0,"Card OK.",197,1500,274309949,277961014,0,0,"2025-09-08 15:18:00.029","2025-09-08 00:00:00",320,189898306,1252,189898306,0,0,0,0,0,0,0,0,"SDI-12","Output","Input","Input","Input","Input","Input","Input",0,0,"2082,4094,4094,5000  ","",8000.17,1599.884,319.7696,-0.009753739,-0.002493707,-0.00135769,0.6666325,0.171649,0.09571807,0.0006423463,0.0001270174,2.524835E-05,-286,-331,-376,0.1000034,0.09999072
"2025-09-08 16:10:48.681",14,"CR1000X.8.2.1","03/18/2025",36113,"27337","007.001","27337","","CPU:IcatmarBoiaBarcelona.CR1X","2025-08-13 16:10:11.46",12456,30101,0,26.60843,11.82648,3.696974,0,"Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 105.  Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 2075.  Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 2077.  ",0,0,0,0,0,0,0,4194304,51580,"305  99(98),189(185),298(296),143(137),45(41),35(34),25(23),0(0),2(2),0(0)",0,"Card OK.",197,1500,274618012,277961014,0,0,"2025-09-08 16:10:00.029","2025-09-08 00:00:00",319,189898306,1252,189898306,0,0,0,0,0,0,0,0,"SDI-12","Output","Input","Input","Input","Input","Input","Input",0,0,"2083,4094,4094,5000  ","",8000.17,1599.884,319.7696,-0.009753739,-0.002493707,-0.00135769,0.6666325,0.171649,0.09571807,0.0006423479,0.0001270174,2.524821E-05,-284,-323,-386,0.1000034,0.09999072
"2025-09-08 16:33:02.777",15,"CR1000X.8.2.1","03/18/2025",36113,"27337","007.001","27337","","CPU:IcatmarBoiaBarcelona.CR1X","2025-08-13 16:10:11.46",12456,30101,0,26.69113,11.83353,3.694686,0,"Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 105.  Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 2075.  Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 2077.  ",0,0,0,0,0,0,0,4194304,51580,"305  99(98),189(185),298(296),143(137),45(41),35(34),25(23),0(0),2(2),0(0)",0,"Card OK.",197,1500,274618012,277961014,0,0,"2025-09-08 16:33:00.029","2025-09-08 00:00:00",319,189898306,1252,189898306,0,0,0,0,0,0,0,0,"SDI-12","Output","Input","Input","Input","Input","Input","Input",0,0,"2084,4094,4094,5000  ","",8000.17,1599.884,319.7696,-0.009753739,-0.002493707,-0.00135769,0.6666325,0.171649,0.09571807,0.0006423465,0.0001270175,2.524831E-05,-284,-332,-391,0.1000034,0.09999072
"2025-09-08 17:28:06.915",16,"CR1000X.8.2.1","03/18/2025",36113,"27337","007.001","27337","","CPU:IcatmarBoiaBarcelona.CR1X","2025-08-13 16:10:11.46",12456,30101,0,26.80518,11.82157,3.692791,0,"Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 105.  Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 2075.  Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 2077.  ",0,0,0,0,0,0,0,4194304,51580,"305  99(98),189(185),298(296),143(137),45(41),35(34),25(23),0(0),2(2),0(0)",0,"Card OK.",197,1500,274349009,277961014,0,0,"2025-09-08 17:28:00.029","2025-09-08 00:00:00",320,189898306,1252,189898306,0,0,0,0,0,0,0,0,"SDI-12","Output","Input","Input","Input","Input","Input","Input",0,0,"2085,4094,4094,5000  ","",8000.17,1599.884,319.7696,-0.009753739,-0.002493707,-0.00135769,0.6666325,0.171649,0.09571807,0.0006423471,0.0001270175,2.524803E-05,-280,-323,-400,0.1000034,0.09999072
"2025-09-08 17:49:08.722",17,"CR1000X.8.2.1","03/18/2025",36113,"27337","007.001","27337","","CPU:IcatmarBoiaBarcelona.CR1X","2025-08-13 16:10:11.46",12456,30101,0,26.75034,11.81846,3.694544,0,"Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 105.  Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 2075.  Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 2077.  ",0,0,0,0,0,0,0,4194304,51580,"305  99(98),189(185),298(296),143(137),45(41),35(34),25(23),0(0),2(2),0(0)",0,"Card OK.",197,1500,274349009,277961014,0,0,"2025-09-08 17:49:00.029","2025-09-08 00:00:00",319,189898306,1252,189898306,0,0,0,0,0,0,0,0,"SDI-12","Output","Input","Input","Input","Input","Input","Input",0,0,"2086,4094,4094,5000  ","",8000.17,1599.884,319.7696,-0.009753739,-0.002493707,-0.00135769,0.6666325,0.171649,0.09571807,0.000642347,0.0001270174,2.524816E-05,-282,-323,-380,0.1000034,0.09999072
"2025-09-08 18:43:04.006",18,"CR1000X.8.2.1","03/18/2025",36113,"27337","007.001","27337","","CPU:IcatmarBoiaBarcelona.CR1X","2025-08-13 16:10:11.46",12456,30101,0,26.62613,11.79796,3.694749,0,"Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 105.  Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 2075.  Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 2077.  ",0,0,0,0,0,0,0,4194304,51580,"305  99(98),189(185),298(296),143(137),45(41),35(34),25(23),0(0),2(2),0(0)",0,"Card OK.",197,1500,274359017,277961014,0,0,"2025-09-08 18:43:00.029","2025-09-08 00:00:00",320,189898306,1252,189898306,0,0,0,0,0,0,0,0,"SDI-12","Output","Input","Input","Input","Input","Input","Input",0,0,"2087,4094,4094,5000  ","",8000.17,1599.884,319.7696,-0.009753739,-0.002493707,-0.00135769,0.6666325,0.171649,0.09571807,0.0006423468,0.0001270175,2.524817E-05,-290,-330,-390,0.1000034,0.09999072
"2025-09-08 19:05:18.806",19,"CR1000X.8.2.1","03/18/2025",36113,"27337","007.001","27337","","CPU:IcatmarBoiaBarcelona.CR1X","2025-08-13 16:10:11.46",12456,30101,0,26.53964,11.77255,3.69086,0,"Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 105.  Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 2075.  Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 2077.  ",0,0,0,0,0,0,0,4194304,51580,"305  99(98),189(185),298(296),143(137),45(41),35(34),25(23),0(0),2(2),0(0)",0,"Card OK.",197,1500,274366999,277961014,0,0,"2025-09-08 19:05:00.029","2025-09-08 00:00:00",319,189898306,1252,189898306,0,0,0,0,0,0,0,0,"SDI-12","Output","Input","Input","Input","Input","Input","Input",0,0,"2088,4094,4094,5000  ","",8000.17,1599.884,319.7696,-0.009753739,-0.002493707,-0.00135769,0.6666325,0.171649,0.09571807,0.000642348,0.0001270177,2.524829E-05,-281,-323,-413,0.1000034,0.09999072
"2025-09-08 19:53:54.308",20,"CR1000X.8.2.1","03/18/2025",36113,"27337","007.001","27337","","CPU:IcatmarBoiaBarcelona.CR1X","2025-08-13 16:10:11.46",12456,30101,0,26.32584,11.7873,3.696808,0,"Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 105.  Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 2075.  Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 2077.  ",0,0,0,0,0,0,0,4194304,51580,"305  99(98),188(185),298(296),143(137),45(41),35(34),25(23),0(0),2(2),0(0)",0,"Card OK.",197,1500,274366999,277961014,0,0,"2025-09-08 19:53:00.029","2025-09-08 00:00:00",319,189898306,1252,189898306,0,0,0,0,0,0,0,0,"SDI-12","Output","Input","Input","Input","Input","Input","Input",0,0,"2089,4094,4094,5000  ","",8000.17,1599.884,319.7696,-0.009753739,-0.002493707,-0.00135769,0.6666325,0.171649,0.09571807,0.000642346,0.0001270176,2.524826E-05,-286,-325,-384,0.1000034,0.09999072
"2025-09-08 19:58:24.404",21,"CR1000X.8.2.1","03/18/2025",36113,"27337","007.001","27337","","CPU:IcatmarBoiaBarcelona.CR1X","2025-08-13 16:10:11.46",12456,30101,0,26.29486,11.79453,3.696836,0,"Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 105.  Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 2075.  Warning: Conflicting PakBus connection with 4094.  Closing old IP connection 2077.  ",0,0,0,0,0,0,0,4194304,51580,"305  99(98),189(185),298(296),143(137),45(41),35(34),25(23),0(0),2(2),0(0)",0,"Card OK.",197,1500,274366999,277961014,0,0,"2025-09-08 19:58:00.029","2025-09-08 00:00:00",319,189898306,1252,189898306,0,0,0,0,0,0,0,0,"SDI-12","Output","Input","Input","Input","Input","Input","Input",0,0,"2090,4094,4094,5000  ","",8000.17,1599.884,319.7696,-0.009753739,-0.002493707,-0.00135769,0.6666325,0.171649,0.09571807,0.0006423458,0.0001270176,2.524814E-05,-284,-324,-393,0.1000034,0.09999072
